1H: 43845 bars. Starting 2000 trial optimizer...
[STARTUP] Running 400 parallel trials...
  cvd_macro_window: 96
  vol_micro_window: 24
  vol_macro_window: 240
  imbalance_ema_span: 10
  atr_pct_window: 528
  oi_change_window: 480
  quant_window: 1000
  quantile_count: 7
  k_horizon: 2
  min_sample_size: 180
  min_edge: 0.045
  prior_strength: 15.0
  fdr_alpha: 0.05
  temporal_min_segments: 2
  temporal_max_reversals: 0
  min_noise_stability: 0.55
  ensemble_min_n: 90

-- Group B --
  mr_ema_span1: 32
  mr_ema_span2: 56
  rsi_period: 18
  rsi_threshold: 15.0
  w_bias: 0.0
  w_mr1: 0.9
  w_mr2: 0.6000000000000001
  w_rsi: 1.0
  w_agree: 1.4000000000000001
  w_cvd: 1.0
  bias_override_threshold: 0.04
  bias_override_mult: 3.0
  sweep_scale: 0.25
  sweep_aligned_weight: 0.5
  sweep_conflict_mult: 0.6000000000000001
  regime_dir_lookback: 264
  trending_threshold: 1.75
  high_vol_threshold: 0.95
  regime_shift_lookback: 48
  regime_shift_penalty: 0.8
